ZIPCODE,max_pfas,mean_pfas,total_detections,num_contaminants,NAME,total_pop,pct_white,pct_black,pct_native,pct_asian,pct_pacific_islander,pct_hispanic,pct_nonhispanic_white,pct_minority
07305,0.0092,0.0010584415584415584,15,20,ZCTA5 07305,72161,24.0,44.9,1.7,18.6,0.3,29.8,10.6,89.4
07306,0.0092,0.0010584415584415584,15,20,ZCTA5 07306,54017,39.2,15.4,1.9,37.7,0.1,24.2,23.9,76.1
07307,0.0092,0.0010584415584415584,15,20,ZCTA5 07307,42645,49.5,9.5,2.8,25.9,0.5,39.2,28.0,72.0
07310,0.0092,0.0010584415584415584,15,20,ZCTA5 07310,16015,34.8,3.7,2.4,59.6,0.3,7.2,26.0,74.0
07311,0.0092,0.0010584415584415584,15,20,ZCTA5 07311,1714,43.5,12.3,0.0,54.3,1.1,10.4,24.6,75.4
07401,0.0178,0.0010493750000000002,78,20,ZCTA5 07401,6865,81.1,1.0,0.0,22.1,0.0,3.1,73.1,26.900000000000006
07403,0.0079,0.00035125,4,20,ZCTA5 07403,7685,86.8,3.3,0.8,4.1,0.5,22.3,72.6,27.400000000000006
07405,0.009,0.00044124999999999996,5,20,ZCTA5 07405,17983,88.3,2.6,0.5,6.2,0.0,14.7,76.3,23.700000000000003
07407,0.0093,0.0004325,6,20,ZCTA5 07407,21412,61.6,13.2,0.7,10.5,0.2,29.5,48.6,51.4
07410,0.013,0.0011394999999999999,35,20,ZCTA5 07410,35610,76.1,6.7,0.8,15.5,0.1,13.7,64.9,35.099999999999994
07416,0.0,0.0,0,20,ZCTA5 07416,5851,89.5,3.7,6.3,0.1,0.0,18.2,72.7,27.299999999999997
07417,0.023,0.0013490740740740742,110,20,ZCTA5 07417,11112,79.6,7.0,0.1,15.2,0.0,7.9,71.2,28.799999999999997
07419,0.0109,0.000775,14,20,ZCTA5 07419,9693,87.3,5.4,1.8,3.2,0.0,20.1,71.3,28.700000000000003
07423,0.0304,0.00409375,68,20,ZCTA5 07423,4270,84.8,1.0,0.3,17.0,0.0,6.0,74.2,25.799999999999997
07424,0.0119,0.0008590000000000001,57,20,ZCTA5 07424,28085,77.6,5.2,0.8,9.3,0.1,24.8,60.7,39.3
07430,0.0136,0.0009456,80,20,ZCTA5 07430,25491,82.7,2.8,0.8,15.2,0.2,7.6,73.8,26.200000000000003
07432,0.0314,0.002871842105263158,249,20,ZCTA5 07432,7019,94.3,1.7,0.6,3.2,0.0,11.1,82.9,17.099999999999994
07436,0.023,0.002043571428571429,34,20,ZCTA5 07436,12740,90.3,3.2,1.1,5.7,0.1,11.5,77.7,22.299999999999997
07438,0.0167,0.0012825,23,20,ZCTA5 07438,11160,92.1,7.2,1.8,2.6,0.0,11.0,78.4,21.599999999999994
07440,0.0053,8e-05,4,20,ZCTA5 07440,4670,96.5,1.1,0.0,6.2,0.0,14.4,79.4,20.599999999999994
07442,0.023,0.0012092307692307693,38,20,ZCTA5 07442,11047,90.3,2.8,1.4,6.2,0.0,17.0,73.0,27.0
07444,0.0,0.0,0,20,ZCTA5 07444,10971,95.0,3.0,0.7,1.9,0.5,6.9,87.1,12.900000000000006
07446,0.0136,0.0009246428571428572,41,20,ZCTA5 07446,14805,84.1,4.0,2.8,10.4,0.0,13.8,69.2,30.799999999999997
07450,0.0314,0.002871842105263158,249,20,ZCTA5 07450,26308,79.1,4.3,0.9,18.5,0.1,10.8,64.8,35.2
07452,0.0314,0.002871842105263158,249,20,ZCTA5 07452,12154,81.8,1.4,0.6,16.7,0.2,6.4,75.1,24.900000000000006
07456,0.0123,0.0013,41,20,ZCTA5 07456,11657,92.9,3.1,2.4,3.8,0.6,10.4,81.1,18.900000000000006
07457,0.0,0.0,0,20,ZCTA5 07457,4112,94.1,0.9,1.1,5.1,0.0,10.4,81.1,18.900000000000006
07458,0.0304,0.0017454411764705883,157,20,ZCTA5 07458,11828,82.2,2.4,0.9,15.7,0.1,5.9,74.1,25.900000000000006
07461,0.0,0.0,0,20,ZCTA5 07461,18731,92.7,4.0,2.7,1.7,0.0,10.3,81.7,18.299999999999997
07462,0.0109,0.00053125,6,20,ZCTA5 07462,7195,95.6,2.1,1.8,1.5,0.0,12.8,81.7,18.299999999999997
07463,0.0243,0.003317,34,20,ZCTA5 07463,10164,90.6,2.1,1.1,7.8,0.0,16.5,74.7,25.299999999999997
07465,0.0148,0.0010115,29,20,ZCTA5 07465,5921,91.4,1.8,0.0,5.6,0.0,11.0,80.8,19.200000000000003
07470,0.023,0.0008292105263157895,40,20,ZCTA5 07470,54112,83.7,3.5,0.4,10.7,0.0,13.5,71.4,28.599999999999994
07480,0.009,0.00044124999999999996,5,20,ZCTA5 07480,14966,89.7,4.5,0.6,2.0,0.5,14.2,77.5,22.5
07481,0.0314,0.002871842105263158,249,20,ZCTA5 07481,17050,92.1,1.5,0.5,7.4,0.0,7.3,83.6,16.400000000000006
07501,0.0119,0.00197875,23,20,ZCTA5 07501,35481,15.8,26.4,2.1,1.9,0.2,71.1,5.4,94.6
07502,0.0119,0.00197875,23,20,ZCTA5 07502,17158,44.0,16.2,0.4,21.7,0.0,51.0,9.9,90.1
07503,0.0119,0.00197875,23,20,ZCTA5 07503,19170,46.9,11.0,1.8,0.2,0.0,58.2,31.8,68.2
07504,0.0119,0.00197875,23,20,ZCTA5 07504,13123,32.4,44.1,0.0,0.4,0.0,58.9,1.1,98.9
07505,0.0119,0.00197875,23,20,ZCTA5 07505,4691,73.5,21.5,0.4,2.3,0.0,68.4,8.9,91.1
07506,0.0093,0.00030812499999999997,7,20,ZCTA5 07506,19628,87.2,3.5,1.0,2.7,0.0,26.1,65.4,34.599999999999994
07508,0.0119,0.0015362499999999999,37,20,ZCTA5 07508,23762,66.1,17.5,1.8,8.3,0.0,43.1,36.7,63.3
07512,0.0119,0.001175,29,20,ZCTA5 07512,10959,79.0,7.4,0.1,9.2,0.0,25.7,56.9,43.1
07513,0.0119,0.00197875,23,20,ZCTA5 07513,11576,22.0,22.4,0.8,0.1,0.3,77.0,2.6,97.4
07514,0.0119,0.00197875,23,20,ZCTA5 07514,20647,17.2,31.6,0.6,1.7,0.4,64.0,4.3,95.7
07522,0.0119,0.00197875,23,20,ZCTA5 07522,23040,41.8,31.2,2.0,9.8,0.1,58.3,3.9,96.1
07524,0.0119,0.00197875,23,20,ZCTA5 07524,13808,51.2,23.9,0.4,0.1,0.0,78.2,0.8,99.2
07603,0.014,0.0011375,48,20,ZCTA5 07603,9360,55.7,13.4,2.3,10.5,0.0,49.0,30.7,69.3
07604,0.014,0.0011375,48,20,ZCTA5 07604,12115,75.7,3.8,1.1,12.1,0.3,21.4,61.5,38.5
07605,0.014,0.0011375,48,20,ZCTA5 07605,9379,50.4,10.3,0.3,39.0,0.3,25.6,30.2,69.8
07606,0.014,0.0011375,48,20,ZCTA5 07606,2770,72.8,6.7,0.0,5.2,0.9,55.5,36.1,63.9
07607,0.014,0.0011375,48,20,ZCTA5 07607,10093,66.6,7.1,0.3,18.9,0.0,27.3,48.4,51.6
07608,0.014,0.0011375,48,20,ZCTA5 07608,136,61.0,2.9,0.0,25.7,0.0,55.1,25.7,74.3
07620,0.014,0.0011375,48,20,ZCTA5 07620,1588,67.4,4.0,0.4,31.1,0.0,4.4,59.5,40.5
07621,0.014,0.0011375,48,20,ZCTA5 07621,28450,52.5,11.6,1.2,26.7,0.4,33.0,32.7,67.3
07624,0.014,0.0011375,48,20,ZCTA5 07624,8606,57.1,5.4,5.4,34.0,0.0,11.1,48.8,51.2
