ZIPCODE,State,City,Metro,CountyName,zhvi
07052,NJ,West Orange,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,628563.8556259644
07302,NJ,Jersey City,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,900331.6483794762
07304,NJ,Jersey City,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,541486.2815145556
07060,NJ,Plainfield,"New York-Newark-Jersey City, NY-NJ-PA",Union County,507225.5910085631
08021,NJ,Lindenwold,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,275076.6597522318
08053,NJ,Evesham Township,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,472404.3142161661
07960,NJ,Morristown,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,842963.1977854874
08817,NJ,Edison,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,527200.6305189807
07601,NJ,Hackensack,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,452061.7244284066
08234,NJ,Egg Harbor Township,"Atlantic City-Hammonton, NJ",Atlantic County,374681.6824359575
07202,NJ,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",Union County,480039.3471687332
07036,NJ,Linden,"New York-Newark-Jersey City, NY-NJ-PA",Union County,514550.6777886969
07726,NJ,Manalapan Township,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,762622.3725099446
08054,NJ,Mt Laurel Township,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,386527.0319991017
08360,NJ,Vineland,"Vineland-Bridgeton, NJ",Cumberland County,281746.47129232547
07032,NJ,Kearny,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,557101.5854806761
08844,NJ,Hillsborough Township,"New York-Newark-Jersey City, NY-NJ-PA",Somerset County,665291.4179403981
07307,NJ,Jersey City,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,735904.646071087
08080,NJ,Sewell,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,415318.0214685905
08902,NJ,North Brunswick,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,520066.1723021924
07107,NJ,Newark,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,522301.4539491621
07666,NJ,Teaneck,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,660869.0614946694
08857,NJ,Old Bridge,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,603339.0684743571
08820,NJ,Edison,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,795978.1489632054
07011,NJ,Clifton,"New York-Newark-Jersey City, NY-NJ-PA",Passaic County,548756.7240348505
08094,NJ,Williamstown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,356209.3638544281
07731,NJ,Howell,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,635603.5661239439
08724,NJ,Brick,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,482548.6332963933
07712,NJ,Ocean,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,709890.7333636532
08807,NJ,Bridgewater Township,"New York-Newark-Jersey City, NY-NJ-PA",Somerset County,710958.0164330158
07024,NJ,Fort Lee,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,551931.9325247692
07017,NJ,East Orange,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,487773.6381699185
08401,NJ,Atlantic City,"Atlantic City-Hammonton, NJ",Atlantic County,211022.96606687535
07109,NJ,Belleville,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,494646.5820071081
07753,NJ,Neptune Township,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,550993.1576457153
08012,NJ,Grenloch,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,347019.3086128432
07103,NJ,Newark,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,387466.3892796223
08618,NJ,Trenton,"Trenton-Princeton, NJ",Mercer County,268857.4658260975
08759,NJ,Toms River,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,277205.771021413
07501,NJ,Paterson,"New York-Newark-Jersey City, NY-NJ-PA",Passaic County,463686.9356121314
08096,NJ,Woodbury,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,323502.8751637198
07106,NJ,Newark,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,462551.4834958259
08332,NJ,Millville,"Vineland-Bridgeton, NJ",Cumberland County,250686.358926565
07410,NJ,Fair Lawn,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,671378.8891136571
08016,NJ,Burlington Township,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,387107.503352262
07050,NJ,Orange,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,476252.6476441485
07208,NJ,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",Union County,545494.231549187
08723,NJ,Brick,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,487723.79948917165
07026,NJ,Garfield,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,568054.90101731
07747,NJ,Matawan,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,622808.8245080955
08610,NJ,Trenton,"Trenton-Princeton, NJ",Mercer County,356316.9008896146
07740,NJ,Long Branch,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,784882.1443187142
08520,NJ,Hightstown,"Trenton-Princeton, NJ",Mercer County,466911.2537256213
08046,NJ,Willingboro Township,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,348499.9953647443
08648,NJ,Lawrence Township,"Trenton-Princeton, NJ",Mercer County,459134.5125661726
07039,NJ,Livingston,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,1011399.4511826496
08003,NJ,Cherry Hill,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,538647.0733142437
07090,NJ,Westfield,"New York-Newark-Jersey City, NY-NJ-PA",Union County,1181911.9331208284
08043,NJ,Voorhees Township,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,494521.7946033934
08822,NJ,Flemington,"New York-Newark-Jersey City, NY-NJ-PA",Hunterdon County,612327.0540930303
07013,NJ,Clifton,"New York-Newark-Jersey City, NY-NJ-PA",Passaic County,587619.291135846
08757,NJ,Toms River,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,335402.64852052584
08865,NJ,Phillipsburg,"Allentown-Bethlehem-Easton, PA-NJ",Warren County,333296.9153714977
07018,NJ,East Orange,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,466857.2777088443
08611,NJ,Trenton,"Trenton-Princeton, NJ",Mercer County,195744.8224255696
07840,NJ,Hackettstown,"Allentown-Bethlehem-Easton, PA-NJ",Warren County,473825.5196655528
07110,NJ,Nutley,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,628119.3060288971
07065,NJ,Rahway,"New York-Newark-Jersey City, NY-NJ-PA",Union County,511524.1572652505
07054,NJ,Parsippany,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,707430.3592085956
08075,NJ,Delran Township,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,373062.98747529293
07631,NJ,Englewood,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,607750.7002525659
08330,NJ,Mays Landing,"Atlantic City-Hammonton, NJ",Atlantic County,298877.68735536374
07201,NJ,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",Union County,469679.9377282786
08055,NJ,Medford Township,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,577453.6228916466
08005,NJ,Barnegat,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,478267.8614380616
07748,NJ,Middletown,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,723101.0591416362
07621,NJ,Bergenfield,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,608022.6952897154
07108,NJ,Newark,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,511856.5434467236
07042,NJ,Montclair,"New York-Newark-Jersey City, NY-NJ-PA",Essex County,877245.9218695475
07920,NJ,Basking Ridge,"New York-Newark-Jersey City, NY-NJ-PA",Somerset County,882648.5364178871
08755,NJ,Toms River,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,505330.0632651429
08638,NJ,Ewing,"Trenton-Princeton, NJ",Mercer County,319614.9562701763
07675,NJ,River Vale,"New York-Newark-Jersey City, NY-NJ-PA",Bergen County,844678.8907093639
07801,NJ,Dover,"New York-Newark-Jersey City, NY-NJ-PA",Morris County,499832.191131232
